product_code,category,title,description,airline,airline_logo,departure_days,duration,price,master_code,product_no,list_url
EPP3160,패키지 > 서울/인천출발 > 유럽,[일급호텔/스위스 뮈렌] 영국/프랑스/스위스/이탈리아 4개국 11일,가성비 서유럽 4개국 / 스위스 뮈렌 등정,에미레이트항공,/images/air_logo/air_EK01.gif,월 출발,여행기간 11일,"3,090,000",EPP3160,EPP3160-250303EK,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3401,패키지 > 서울/인천출발 > 유럽,[ 핵심만 쏙쏙 ] 프랑스/스위스/이태리 3개국 8일 # 리기산,서유럽 핵심 일정들로만 골라 담은 알찬 여행,터키항공,/images/air_logo/air_TK01.gif,수 출발,여행기간 8일,"2,390,000",EPP3401,EPP3401-250226,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3617,패키지 > 서울/인천출발 > 유럽,[골든패스라인_서유럽 4개국] 영국/프랑스/스위스/이탈리아 10일,루체른/융프라우/오르세 미술관,대한항공,/images/air_logo/air_KE01.gif,"화, 토 출발",여행기간 10일,"4,179,000",EPP3617,EPP3617-250225KE,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3146,패키지 > 서울/인천출발 > 유럽,[찬찬히 그려보는] 프랑스/스위스/독일 3국 12일,몽생미셸/뤼데스하임/라인폭포,아시아나항공,/images/air_logo/air_OZ01.gif,"월, 화 출발",여행기간 12일,"4,977,000",EPP3146,EPP3146-250303,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3125,패키지 > 서울/인천출발 > 유럽,[ 다채롭게 골라 담아 ] 서유럽 3개국 12일 # 라 발레 빌리지 아울렛,소도시 방문 / 아울렛 쇼핑,아시아나항공,/images/air_logo/air_OZ01.gif,화 출발,여행기간 12일,"4,477,000",EPP3125,EPP3125-250304OZ,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3054,패키지 > 서울/인천출발 > 유럽,[참좋은 단독 美小國] 세계에서 가장 작은 나라 4국 11/12일,리히텐슈타인/산마리노/모나코/안도라,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,"일, 월, 화, 금 출발",여행기간 11일 부터,"3,990,000",EPP3054,EPP3054-250307BF,https://www.verygoodtour.com/Product/PackageList?menuCode=101210105
EPP385,패키지 > 서울/인천출발 > 유럽,[한 나라 여행하듯] 베네룩스3국 + 독일 9일 #소도시 투어,여유있는 일정 / 미술관 내부,대한항공 외 1개,/images/air_logo/air_KE01.gif,"일, 월, 수, 금 출발",여행기간 9일,"3,377,000",EPP385,EPP385-250307KE,https://www.verygoodtour.com/Product/PackageList?menuCode=101210105
EPP3778,패키지 > 서울/인천출발 > 유럽,"[패키지 속 자유] 베네룩스3국, 프랑스까지 4국 10일 #몽쉘미쉘",매년 3~5월 큐켄호프 꽃 축제,대한항공 외 1개,/images/air_logo/air_KE01.gif,"화, 목 출발",여행기간 9일 부터,"3,879,000",EPP3778,EPP3778-250311,https://www.verygoodtour.com/Product/PackageList?menuCode=101210105
EPP3935,패키지 > 서울/인천출발 > 유럽,[유럽 속 보물찾기] 베네룩스 ＃프랑스 ＃독일 5국 10일,오랑주리 미술관 / 레이크스 미술관,아시아나항공,/images/air_logo/air_OZ01.gif,"수, 목 출발",여행기간 10일,"3,477,000",EPP3935,EPP3935-250220FC,https://www.verygoodtour.com/Product/PackageList?menuCode=101210105
EPP3885,패키지 > 서울/인천출발 > 유럽,[대도시부터 소도시까지] 서유럽 6국 14일,베네룩스 / 프랑스 / 스위스 / 이탈리아,대한항공,/images/air_logo/air_KE01.gif,월 출발,여행기간 14일,"5,179,000",EPP3885,EPP3885-250303,https://www.verygoodtour.com/Product/PackageList?menuCode=101210105
EPP395,패키지 > 서울/인천출발 > 유럽,[한 나라만 느긋하게] 네덜란드 일주 7일 #반고흐 #오르골뮤지엄,네덜란드 에담 /볼렌담 / 하를럼 관광,대한항공,/images/air_logo/air_KE01.gif,목 출발,여행기간 7일,"3,079,000",EPP395,EPP395-250220,https://www.verygoodtour.com/Product/PackageList?menuCode=101210105
EPP3090,패키지 > 서울/인천출발 > 유럽,●25 EPL 경기관람● 영국 + 프랑스 9일 _ #PSG구장투어 #토트넘,PSG 스타디움 / 자유일정 2DAY / 아울렛,아시아나항공,/images/air_logo/air_OZ01.gif,"월, 화 출발",여행기간 9일,"4,677,000",EPP3090,EPP3090-250602,https://www.verygoodtour.com/Product/PackageList?menuCode=101210106
EPP4057,패키지 > 서울/인천출발 > 유럽,[부담없이 알차게] 동유럽 3개국 7일 # 체오독 / 국적기 /  쇤부른 & 벨베데레 내부,시간&비용까지 부담없이 가볍게 떠나지만 일정은 알차고 여유있는 동유럽 상품,티웨이항공,/images/air_logo/air_TW01.gif,"일, 월, 수, 목, 토 출발",여행기간 7일,"1,647,000",EPP4057,EPP4057-250303TW,https://www.verygoodtour.com/Product/PackageList?menuCode=101210201
EPP4227,패키지 > 서울/인천출발 > 유럽,"[나의 소확행, 동유럽] 4개국 8일 # 체헝오독 / 동화가도의 시작, 밤베르크",선호도 높은 지역들만 콕콕찝어 떠나는 짧지만 확실한 행복 여행,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,"화, 수, 토 출발",여행기간 7일 부터,"1,747,000",EPP4227,EPP4227-250225TW,https://www.verygoodtour.com/Product/PackageList?menuCode=101210201
EPP4707,패키지 > 서울/인천출발 > 유럽,[패키지 속 자유] 동유럽 3개국 7일 # 체오독 / 비엔나2박,"비엔나/프라하 자유시간 + 소도시 BEST 3 (체스키크룸로프, 할슈타트, 잘츠부르크) 관광",아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,"일, 화, 목 출발",여행기간 7일,"1,777,000",EPP4707,EPP4707-250223LH,https://www.verygoodtour.com/Product/PackageList?menuCode=101210201
EPP4585,패키지 > 서울/인천출발 > 유럽,[보헤미안 랩소디] 체코 일주 8일 # 프라하 2박 / 여유있게 소도시까지,보석같은 소도시를 포함해 체코의 진짜 매력을 느끼는 여행,에미레이트항공,/images/air_logo/air_EK01.gif,"일, 화, 목 출발",여행기간 8일,"1,790,000",EPP4585,EPP4585-250220EK,https://www.verygoodtour.com/Product/PackageList?menuCode=101210201
EPP4381,패키지 > 서울/인천출발 > 유럽,"[알프스의 꽃, 에델바이스] 오스트리아 일주 8일 # 탑 오브 잘츠부르크 / 노천스파","청정자연, 예술, 문화의 완벽한 조화를 경험하는 오스트리아의 새로운 모습을 찾아!",에미레이트항공,/images/air_logo/air_EK01.gif,"화, 토 출발",여행기간 8일,"1,790,000",EPP4381,EPP4381-250225EK,https://www.verygoodtour.com/Product/PackageList?menuCode=101210201
EPP4557,패키지 > 서울/인천출발 > 유럽,"[명불허전] 동유럽 3개국 9일 # 체오헝 / 직항 / 프라하 야경 유람선, 클림트(키스), 이색 소도시","사색의 시간! 비엔나,프라하,부다페스트 3대 도시에서의 충분한 자유시간!",대한항공 외 1개,/images/air_logo/air_KE01.gif,매일 출발,여행기간 9일 부터,"2,279,000",EPP4557,EPP4557-250302VIE,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP4350,패키지 > 서울/인천출발 > 유럽,[여행의 맛] 동유럽 3개국 9일 # 체오헝 / 직항탑승 / 소도시 관광,부다페스트 직항으로 나라별 수도는 여유있게! 소도시까지 빼놓지 않고 관광하는 일정!,폴란드항공,/images/air_logo/air_LO01.gif,"월, 수, 목, 금, 토 출발",여행기간 9일,"1,990,000",EPP4350,EPP4350-250224LO,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP4390,패키지 > 서울/인천출발 > 유럽,[바쁜 일상 속 쉼표] 동유럽 4개국 9일 # 체헝오독 / 벨베데레 궁전,동유럽 소도시까지 관광하는 담당자 추천. 스테디 일정,아시아나항공 외 2개,/images/air_logo/air_OZ01.gif,매일 출발,여행기간 9일,"1,847,000",EPP4390,EPP4390-250225TW,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP4338,패키지 > 서울/인천출발 > 유럽,"[행복소비] 동유럽 3개국 9일 # 체오헝 / A380탑승 / 2대야경＆쇤브룬, 벨베데레 내부",황금동선으로 아주 여유있게 둘러보는 정통 동유럽 일정,에미레이트항공 외 1개,/images/air_logo/air_EK01.gif,"월, 화, 수, 목, 금, 토 출발",여행기간 9일 부터,"1,890,000",EPP4338,EPP4338-250226EK,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP4190,패키지 > 서울/인천출발 > 유럽,"[요즘 여행, 느긋한 하루] 동유럽 4개국 9일 # 헝오체독 / 프라하 자유시간, 베를린",역사적 의미가 깊은 베를린을 포함하며 낭만적인 프라하에서 자유시간을 즐길 수 있는 일정,아시아나항공,/images/air_logo/air_OZ01.gif,"일, 화, 목 출발",여행기간 9일,"2,397,000",EPP4190,EPP4190-250612,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP4067,패키지 > 서울/인천출발 > 유럽,[노팁 노옵션] 동유럽 3개국 9일 # 체.헝.오 / 일급호텔 / 패키지 속 자유,국적기 직항탑승! 노팁 노옵션으로 편안하게. 동유럽 핵심 3개국에 꼭 봐야할 소도시까지 즐기는 여정,대한항공 외 1개,/images/air_logo/air_KE01.gif,매일 출발,여행기간 9일,"3,079,000",EPP4067,EPP4067-250221,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP4562,패키지 > 서울/인천출발 > 유럽,"3/8확정 [色다르게 여행하는 길] 독일 일주 '메르헨가도' 9일 # 그림형제 브레멘, 하노버, 카셀",숲을 중심으로 펼쳐지는 현실로 불러온 동화 속 세상,티웨이항공,/images/air_logo/air_TW01.gif,"화, 수, 목, 토 출발",여행기간 9일,"2,547,000",EPP4562,EPP4562-250220,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP4287,패키지 > 서울/인천출발 > 유럽,"[패키지 반, 자유여행 반] 동유럽 3개국 9일 # 헝오체 / 프라하 직항",동유럽의 매력을 패키지 여행과 자유 여행의 조화로 경험할 수 있도록 구성된 일정,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,"일, 화, 목 출발",여행기간 8일 부터,"1,790,000",EPP4287,EPP4287-250225EK,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP461,패키지 > 서울/인천출발 > 유럽,[패키지 속 자유] 동유럽 3개국 9일 # 체헝오 / 일급호텔,"3개국만 여유롭게 여행하며,  비엔나와 프라하에서는 나만의 자유시간을 갖는 여행",대한항공,/images/air_logo/air_KE01.gif,"월, 수, 금 출발",여행기간 9일,"2,279,000",EPP461,EPP461-250310,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP4938,패키지 > 서울/인천출발 > 유럽,[낭만의 로만티크 가도] 동유럽 3개국 9일 # 체오독 / 퓌센 백조의 성,"국적기 직항! 독일, 체코, 오스트리아에 독일을 좀 더 집중적으로 보는 상품",대한항공 외 1개,/images/air_logo/air_KE01.gif,"수, 금, 토 출발",여행기간 9일,"2,177,000",EPP4938,EPP4938-250305KE,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP4079,패키지 > 서울/인천출발 > 유럽,"[황금빛 색채 속으로 풍덩!] 동유럽 4개국 9일 # 일급호텔 / 벨베데레, 멜크수도원, 할슈타트 전망대",독일항공 뮌헨 직항. 빼놓지 말아야 할 핵심 관광지만 방문하는 일정,루프트한자항공,/images/air_logo/air_LH01.gif,"목, 토 출발",여행기간 9일,"1,990,000",EPP4079,EPP4079-250220,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
EPP456,패키지 > 서울/인천출발 > 유럽,"[色다르게 여행하는 길] 독일 일주 '판타스틱가도' 9일 # 바덴바덴, 검은숲 티티제, 콘스탄츠",숲과 고성 그리고 호반이 화려하게 펼쳐지는 환상적인 분위기,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,"월, 화, 수, 토 출발",여행기간 9일,"2,777,000",EPP456,EPP456-250224OZ,https://www.verygoodtour.com/Product/PackageList?menuCode=101210202
